date,city,state,venue
9/26/2012,ottawa,on,mavericks
3,buffalo,ny,mohawk place
10/11/2012,18th,mo,fubar
10/13/2012,dallas,tx,south side ballroom
10/15/2012,nashville,tn,rocketown
10/22/2012,eindhoven,nb,kafee aloys
10/23/2012,trier,,exhaus
10/24/2012,frankfurt am main,0,elfer music club
10/26/2012,zizers,gr,event stage
10/27/2012,2:11.75,fe,5/13/2011
10/30/2012,dessau,st,beatclub
10/31/2012,1620,by,desi
11/1/2012,time of possession,ni,d-place
11/2/2012,cologne,nw,rome
11/3/2012,paris,ville de paris,trabendo
11/6/2012,not on coach,,007 club
11/7/2012,linz,4,nijmegen tigers
